CustomerID,TotalSpend,NumOrders,AvgOrderValue,RecencyDays,Cluster,RFM_Label,CLV,Churn_Risk
12346.0,0.0,2,0.0,325,1,Other,0.0,True
12347.0,4310.0,7,615.7142857142857,1,0,"High Value, Frequent, Recent",4310.0,False
12348.0,1797.24,4,449.31,74,0,Other,1797.24,False
12349.0,1757.55,1,1757.55,18,0,Other,1757.55,False
12350.0,334.4,1,334.4,309,1,Other,334.4,True
12352.0,1545.41,11,140.4918181818182,35,0,Other,1545.41,False
12353.0,89.0,1,89.0,203,1,Other,89.0,True
12354.0,1079.4,1,1079.4,231,1,Other,1079.4,True
12355.0,459.4,1,459.4,213,1,Other,459.4,True
12356.0,2811.43,3,937.1433333333332,22,0,Other,2811.4299999999994,False
12357.0,6207.67,1,6207.67,32,0,Other,6207.67,False
12358.0,1168.06,2,584.03,1,0,Other,1168.06,False
12359.0,6245.53,6,1040.9216666666666,7,0,"High Value, Frequent, Recent",6245.53,False
12360.0,2662.06,3,887.3533333333334,51,0,Other,2662.06,False
12361.0,189.9,1,189.9,286,1,Other,189.9,True
12362.0,5154.58,13,396.50615384615384,2,0,"High Value, Frequent, Recent",5154.58,False
12363.0,552.0,2,276.0,109,0,Other,552.0,False
12364.0,1313.1,4,328.275,7,0,Other,1313.1,False
12365.0,320.69,3,106.89666666666666,290,1,Other,320.69,True
12367.0,168.9,1,168.9,3,0,Other,168.9,False
12370.0,3545.69,4,886.4225,50,0,Other,3545.69,False
12371.0,1887.96,2,943.98,44,0,Other,1887.96,False
12372.0,1298.04,3,432.68,71,0,Other,1298.04,False
12373.0,364.6,1,364.6,310,1,Other,364.6,True
12374.0,742.9300000000001,1,742.9300000000001,24,0,Other,742.9300000000001,False
12375.0,455.42,3,151.80666666666667,2,0,Other,455.42,False
12377.0,1628.12,2,814.06,314,1,Other,1628.12,True
12378.0,4008.62,1,4008.62,129,0,Other,4008.62,False
12379.0,850.29,3,283.43,81,0,Other,850.29,False
12380.0,2720.56,5,544.112,21,0,Other,2720.56,False
12381.0,1803.96,6,300.66,4,0,"High Value, Frequent, Recent",1803.96,False
12383.0,1839.31,6,306.5516666666667,184,1,Other,1839.31,True
12384.0,566.16,3,188.72,28,0,Other,566.16,False
12386.0,401.9,2,200.95,337,1,Other,401.9,True
12388.0,2780.66,6,463.4433333333333,15,0,"High Value, Frequent, Recent",2780.66,False
12390.0,549.84,1,549.84,79,0,Other,549.84,False
12391.0,460.89,1,460.89,21,0,Other,460.89,False
12393.0,1582.6,4,395.65,71,0,Other,1582.6,False
12394.0,1272.48,2,636.24,63,0,Other,1272.48,False
12395.0,2998.28,15,199.88533333333336,15,0,"High Value, Frequent, Recent",2998.2800000000007,False
12397.0,2409.9,2,1204.95,35,0,Other,2409.9,False
12398.0,1635.66,1,1635.66,45,0,Other,1635.66,False
12399.0,1108.65,4,277.1625,118,0,Other,1108.65,False
12401.0,84.3,1,84.3,302,1,Other,84.3,True
12402.0,225.6,1,225.6,322,1,Other,225.6,True
12403.0,409.7,2,204.85,49,0,Other,409.7,False
12405.0,1710.39,1,1710.39,148,0,Other,1710.39,True
12406.0,3280.75,3,1093.5833333333333,21,0,Other,3280.75,False
12407.0,1708.12,5,341.624,49,0,Other,1708.1200000000001,False
12408.0,2842.57,9,315.8411111111111,32,0,Other,2842.5699999999997,False
12409.0,11056.93,7,1579.561428571429,78,0,Other,11056.930000000002,False
12410.0,681.0799999999999,3,227.02666666666664,300,1,Other,681.0799999999999,True
12412.0,1226.88,3,408.96,74,0,Other,1226.8799999999999,False
12413.0,694.15,5,138.82999999999998,66,0,Other,694.1499999999999,False
12414.0,562.41,3,187.47,216,1,Other,562.41,True
12415.0,123725.45,26,4758.671153846154,23,2,Other,123725.45000000001,False
12417.0,3578.8,12,298.23333333333335,2,0,"High Value, Frequent, Recent",3578.8,False
12418.0,668.58,1,668.58,112,0,Other,668.58,False
12420.0,600.39,1,600.39,63,0,Other,600.39,False
12421.0,806.27,5,161.254,15,0,Other,806.27,False
12422.0,803.5600000000001,3,267.85333333333335,95,0,Other,803.5600000000001,False
12423.0,1849.11,9,205.45666666666665,0,0,"High Value, Frequent, Recent",1849.11,False
12424.0,1760.96,2,880.48,162,1,Other,1760.96,True
12425.0,777.2,1,777.2,77,0,Other,777.2,False
12426.0,582.73,1,582.73,194,1,Other,582.73,True
12427.0,708.37,5,141.674,11,0,Other,708.37,False
12428.0,7877.2,12,656.4333333333333,25,0,Other,7877.199999999999,False
12429.0,3750.4,4,937.6,8,0,Other,3750.4,False
12430.0,256.4,1,256.4,42,0,Other,256.4,False
12431.0,6416.39,18,356.4661111111111,35,0,Other,6416.389999999999,False
12432.0,5059.32,5,1011.864,42,0,Other,5059.32,False
12433.0,13375.87,7,1910.8385714285716,0,0,"High Value, Frequent, Recent",13375.87,False
12434.0,765.19,4,191.2975,84,0,Other,765.19,False
12435.0,7829.89,2,3914.945,79,0,Other,7829.89,False
12436.0,509.01,1,509.01,99,0,Other,509.01,False
12437.0,4896.66,19,257.718947368421,1,0,"High Value, Frequent, Recent",4896.66,False
12438.0,2906.85,2,1453.425,13,0,Other,2906.85,False
12441.0,173.55,1,173.55,366,1,Other,173.55,True
12442.0,172.06,1,172.06,2,0,Other,172.06,False
12444.0,5005.46,5,1001.092,20,0,Other,5005.46,False
12445.0,133.4,1,133.4,21,0,Other,133.4,False
12446.0,1002.31,1,1002.31,57,0,Other,1002.31,False
12447.0,476.49,1,476.49,242,1,Other,476.49,True
12448.0,449.45,1,449.45,43,0,Other,449.45,False
12449.0,4067.29,4,1016.8225,21,0,Other,4067.29,False
12450.0,197.88,2,98.94,155,1,Other,197.88,True
12451.0,8933.52,6,1488.92,10,0,"High Value, Frequent, Recent",8933.52,False
12452.0,428.57,3,142.85666666666663,16,0,Other,428.5699999999999,False
12453.0,707.09,1,707.09,133,0,Other,707.09,False
12454.0,5.684341886080803e-14,2,2.8421709430404014e-14,52,0,Other,5.684341886080803e-14,False
12455.0,2466.86,6,411.1433333333334,72,0,Other,2466.86,False
12456.0,3153.89,4,788.4725,43,0,Other,3153.89,False
12457.0,1917.78,12,159.815,57,0,Other,1917.78,False
12458.0,947.4,2,473.7,70,0,Other,947.4,False
12461.0,826.88,2,413.44,93,0,Other,826.88,False
12462.0,1124.01,4,281.0025,1,0,Other,1124.01,False
12463.0,1303.63,7,186.23285714285717,45,0,Other,1303.63,False
12464.0,1212.05,8,151.50625,9,0,Other,1212.05,False
12465.0,733.89,3,244.63,7,0,Other,733.89,False
12468.0,724.0400000000001,3,241.3466666666667,142,1,Other,724.0400000000001,False
12471.0,18740.92,49,382.4677551020408,1,3,"High Value, Frequent, Recent",18740.920000000002,False
12472.0,6229.48,13,479.1907692307692,30,0,Other,6229.48,False
12473.0,2848.23,9,316.47,28,0,Other,2848.2300000000005,False
12474.0,7116.47,30,237.21566666666664,16,0,Other,7116.469999999999,False
12475.0,723.38,1,723.38,53,0,Other,723.38,False
12476.0,6546.58,20,327.329,0,0,"High Value, Frequent, Recent",6546.58,False
12477.0,13117.01,9,1457.4455555555555,22,0,Other,13117.01,False
12478.0,680.99,1,680.99,3,0,Other,680.99,False
12479.0,477.3,3,159.1,3,0,Other,477.29999999999995,False
12480.0,3281.63,4,820.4075,27,0,Other,3281.63,False
12481.0,5590.86,11,508.26,22,0,Other,5590.86,False
12483.0,2327.13,13,179.01000000000002,16,0,Other,2327.13,False
12484.0,4495.27,8,561.90875,32,0,Other,4495.27,False
12488.0,1298.66,3,432.8866666666667,9,0,Other,1298.66,False
12489.0,334.93,1,334.93,335,1,Other,334.93,True
12490.0,5417.93,10,541.793,4,0,"High Value, Frequent, Recent",5417.93,False
12491.0,460.4,1,460.4,38,0,Other,460.4,False
12492.0,263.21000000000004,2,131.60500000000002,62,0,Other,263.21000000000004,False
12493.0,416.79,3,138.93,165,1,Other,416.79,True
12494.0,1139.35,13,87.6423076923077,9,0,Other,1139.3500000000001,False
12497.0,1043.1,1,1043.1,81,0,Other,1043.1,False
12498.0,403.7000000000001,3,134.5666666666667,20,0,Other,403.70000000000005,False
12500.0,4206.27,13,323.5592307692308,22,0,Other,4206.27,False
12501.0,2089.68,2,1044.84,314,1,Other,2089.68,True
12502.0,3723.87,5,744.774,95,0,Other,3723.87,False
12503.0,-1126.0,1,-1126.0,337,1,Other,-1126.0,True
12504.0,114.0,4,28.5,17,0,Other,114.0,False
12505.0,-4.5,1,-4.5,300,1,Other,-4.5,True
